name,aff_no,state,district,address,pincode,ph_no,email,website,status
THE ACHIEVERS SCHOOL,1130677,MAHARASHTRA,NAGPUR,"KH. NO. 8, WARODA VILLAGE, WARDHA ROAD, VIA LE MERIDIEN HOTEL, ON OUTER RING ROAD",441108,,principal@theachieversschool.com,http://theachieversschool.com,Secondary School
M.E.T ENGLISH MEDIUM SCHOOL,930773,KERALA,PALAKKAD,"PO. PULASSERY (MELMURI)
VIA. PATTAMBI
PIN : 679307",679307,08284,ablatheefindia@gmail.com,http://www.metkoppam.com,Secondary School
RADCLIFFE SCHOOL,830588,KARNATAKA,BANGALORE,"15TH MILE STONE, GOTTIGERE, BANNERGHATTA ROAD, BENGALURU",560083,,bhanu.rao@radcliffe.in,http://www.radcliffe.in,Secondary School
BALAJI PUBLIC SCHOOL,2131705,UTTAR PRADESH,JHANSI,"OPPOSITE WATER FILTER, UNNAO BALAJI ROAD",284002,,nishagupta2211@gmail.com,,Senior Secondary
TECHNO INDIA GROUP PUBLIC SCHOOL - BOLPUR,2430191,WEST BENGAL,BIRBHUM,"TECHNO INDIA GROUP PUBLIC SCHOOL - BOLPUR, PRANTIK TOWNSHIP, P.O - SANTINIKETAN, P.S.- BOLPUR, DIST.-BIRBHUM, PIN - 731235",731235,,mpuri58@gmail.com,http://www.technoindiagroup.in/schools.html,Secondary School
CARMEL CONVENT SCHOOL,1030335,MADHYA PRADESH,NEEMUCH,"HASPUR ROAD, NEAR POLICE COLONY, MANASA, NEEMUCH, MADHYA PRADESH",458110,0496,rosily17771@gmail.com,,Senior Secondary
D A V CENTENARY PUBLIC SCHOOL,3430068,JHARKHAND,,BANIAHIR LODNA AREA P.O. BHAGA DISTT. DHANBAD JHARKHAND,828301,,subratomodak@gmail.com,,Senior Secondary
R.G.N. PUBLIC SCHOOL,330582,BIHAR,GAYA,"BARKI BAGH, SHERGHATI",824211,,brajesh2gaya@gmail.com,,Secondary School
DHARANI INTERNATIONAL SCHOOL,1930480,TAMILNADU,TIRUNELVELI,"DHARANI NAGAR
ATHUVAZHI POST
SIVAGIRI TALUK
VASUDEVANALLUR
PIN-627760",627760,,sahayamary@gmail.com,,Senior Secondary
LORD'S INTERNATIONAL SCHOOL,1730314,RAJASTHAN,CHURU,"NH- 65, HISAR ROAD",331023,,sktlaxman26@gmail.com,,Senior Secondary
THE MILLENNIUM SCHOOL,1630296,PUNJAB,JULLUNDUR,NEAR SPORTS & SURGICAL COMPLEX KAPURTHALA ROAD JALANDHAR PUNJAB,144021,0181,gandhi.computer@yahoo.co.in,,Senior Secondary
K M M ENGLISH SCHOOL & JR COLLEGE,930033,KERALA,MALAPPURAM,PERUMBADAPPA POST MALAPPURAM DISTT. KERALA,679580,0494,principalkmmeschool@gmail.com,,Senior Secondary
RAHUL INTERNATIONAL SCHOOL,1130222,MAHARASHTRA,THANE,"PATANKAR PARK,NEXT TO ASHWINI HOSPITAL,",401203,020,msharmakr@gmail.com,http://www.rahulinternational.org,Senior Secondary
DEROZEO MISSION SCHOOL,2030019,TRIPURA,WEST TRIPURA,"JAMBURA, KHOWAI.",799202,,sarkarsisirkhowai@gmail.com,,Secondary School
ALPHA ENGLISH MEDIUM SCHOOL,930523,KERALA,PALAKKAD,CHERPALCHERY PALAKKAD DISTT KERALA,679503,0466,ammukrishnanjali@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,700027,JAMMU & KASHMIR,ANANTNAG,BRAKPARA ANANTNAG JAMMU & KASHMIR,192101,07463,kv_ang@rediffmail.com,,Secondary School
D S SAINIK MODEL SCHOOL,2730455,DELHI,,SWARN PARK MUNDKA DELHI,110041,0477,op_lakra_school@yahoo.co.in,,Secondary School
"INDIRAPURAM PUBLIC SCHOOL,CROSSINGS REPUBLIK",2132548,UTTAR PRADESH,GHAZIABAD,"PLOT NO-7 & 8B, VILLAGE DUNDAHERA, CROSSINGS REPUBLIK, NH-24, GHAZIABAD 201016",201016,,ipscrprincipal@gmail.com,http://www.indirapuramschoolcr.com,Secondary School
MODERN DELHI PUBLIC SCHOOL,530698,HARYANA,FARIDABAD,"SECTOR 87, TIGAON ROAD, FARIDABAD",121002,01250,moderndps@rediffmail.com,,Senior Secondary
DOON PUBLIC SCHOOL,430220,GUJARAT,KUTCH-BHUJ,"R S NO. 64/1 PAIKI, GANGESHWAR MAHADEV TEMPLE ROAD, MADHAPAR, BHUJ-KUTCH",370020,,sarika.aps@gmail.com,http://www.doonpublicschoolbhuj.com,Senior Secondary
KENDRIYA VIDYALAYA,3500045,UTTARAKHAND,UTTARKASHI,"RAJGARHI, TEH BARKOT, DIST UTTARAKASHI",249191,01372,rameshsharma.kv@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,1700044,RAJASTHAN,AJMER,SINGHADIYA LINK ROAD BEAWAR DT.AJMER RAJASTHAN,305901,0744,rajeshkantharia12@yahoo.com,http://www.kv2kota.org,Senior Secondary
ACHARYA SHRIRAM VIDYALAYA,1030875,MADHYA PRADESH,CHHATARPUR,"WARD NO-1,PIPRI ,NOWGONG",471201,,asv.nwg@live.com,,Secondary School
MARKAZUL ULOOM ENGLISH SCHOOL,930070,KERALA,MALAPPURAM,KONDOTTY PO MALAPPURAM KERALA,673638,04832,munseersv@gmail.com,,Senior Secondary
GOVT SARVODAYA BOYS SR SEC SCH NO1,2750035,DELHI,,SHAKURPUR DELHI,110034,011,gsbvno.1shakurpur@gmail.com,,Senior Secondary
MYTECH CONVENT SCHOOL,2132927,UTTAR PRADESH,BALIA,VILLAGE & POST BHARAULI,277501,,info.mytechschool@gmail.com,,Secondary School
NAVJEEVAN ENGLISH SCHOOL,2131189,UTTAR PRADESH,BALIA,BELTHARA ROAD,221715,05612,gracy270@gmail.com,,Senior Secondary
GURUKUL B.L. MOHTA LEARNING INSTITUTE,1730493,RAJASTHAN,BIKANER,"NAPASAR-GUSAISAR ROAD, SINTHAL BIKANER 334002",334002,,gurukulblmohta@gmail.com,http://www.svcforprofessionalstudies.com,Senior Secondary
VARDHMAN ACADEMY,2130254,UTTAR PRADESH,MEERUT,RAILWAY ROAD MEERUT UTTAR PRADESH,250002,0121,usvardhman1984@gmail.com,,Senior Secondary
CHRIST NAGAR CENTRAL SCHOOL,931119,KERALA,THIRUVANANTHAPURAM,"CHRIST NAGAR CENTRAL, KAUDIAR PO, THIRUVANANTHAPURAM",695003,0121,binopattarkalamcmi@gmail.com,http://www.christnagarschools.org,Secondary School
SKS INTERNATIONAL GURUKUL,531231,HARYANA,KURUKESHTRA,"NEAR NIT, KUK, KIRMACH ROAD",136119,,siwachip@gmail.com,http://www.sksinternationalgurukul.com,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,3540002,UTTARAKHAND,,POKHAL  P.O. POKHAL TEHRI GHARWAL UTTARANCHAL,249001,01372,jnv_tehri@rediffmail.com,,Senior Secondary
S K D ACADEMY,2131594,UTTAR PRADESH,LUCKNOW,"2D/HS-1, VINDDAVAN YOJNA, RAIBAREILLY ROAD, LUCKNOW.",226002,,skdacademyvrindavan@skdacademia.org,,Senior Secondary
GOVT PRATIBHA VIKAS VIDYALAYA,2756125,DELHI,,SECT XI ROHINI DELHI,110085,011,vipinlatiyan@gmail.com,,Senior Secondary
ODISHA ADARSHA VIDYALAYA,1520050,ODISHA,,"AT. BHQ SURADA, P.O. SURADA, DISTT. GANJAM, ODISHA -761108",,,,,Secondary School
SHRI RAM PUBLIC SCHOOL,2130831,UTTAR PRADESH,KANPUR,1430 Y BLOCK KIDWAI NAGAR KANPUR UP,208011,0487,pratibha.asthana1102@gmail.com,euroschoolhyd.com,Senior Secondary
D A V CENTENARY PUBLIC SCHOOL,630023,HIMACHAL PRADESH,MANDI,JAWAHAR NAGAR MANDI HIMACHAL PRADESH,175001,01905,k.s.guleria77@gmail.com,,Senior Secondary
DAV PUBLIC SCHOOL,2430065,WEST BENGAL,BANKURA,MEGIA THERMAL POWER STATION DVC PO MTPS DISTT BANKURA WEST BENGAL,722183,03241,davps_mtps@rediffmail.com,,Senior Secondary
SARVANAMAN VIDYA MANDIR,430095,GUJARAT,BHARUCH,"ATMIYADHAM, DISTT BHARUCH, GUJARAT",392011,02642,principal@sarvanaman.org,http://www.savanaman.org,Senior Secondary
GAYATRI PUBLIC SCHOOL,530969,HARYANA,HISSAR,VPO SULKHANI HISAR,125001,0522,susivin1973@gmail.com,,Senior Secondary
GOVT GIRLS SR SEC SCHOOL NO-1,2766035,DELHI,,MOTI NAGAR NEW DELHI,110015,,,,Senior Secondary
SHAKUNTALA DEVI POONAM DEVI PUBLIC SCHOOL,2132044,UTTAR PRADESH,BULANDSHAHAR,RAJESHWAR ENCALVE NEAR BLOCK OFFICE ANOOPSHAHR,202390,,sdpdpublicschool@gmail.com,,Secondary School
MOUNT LITERA ZEE SCHOOL,3630107,TELANGANA,RANGAREDDY,"SURVEY NO. 58 & 59;  YELLAREDDYGUDA,  KEESARA MANDAL, KAPRA CIRCLE, SAINIKPURI,  HYDERABAD,  DISTRICT: RANGA REDDY,  PIN: 500062",500062,,zeeschoolsainikpuri@gmail.com,http://www.mountlitera.com/,Secondary School
AKSHARA SCHOOL,130123,ANDHRA PRADESH,EAST GODAVARI,N F C L TOWNSHIP KAKINADA ANDHRA PRADESH,533003,0884,dsuseela57@gmail.com,,Secondary School
SRI VINAYAGA VIDHYALAYA SCHOOL,1930228,TAMILNADU,COIMBATORE,"113/4, PERIYA RANGANATHAPURAM,
BUJANGANOOR, DISTT COIMBATORE, TAMILNADU",641113,08483,svvschool@gmail.com,,Senior Secondary
ARYA PUBLIC SCHOOL,1730647,RAJASTHAN,ALWAR,"BLOCK A, MALVIYA NAGAR",301001,,apsmnagar@yahoo.in,http://www.aryakanyaalwar.com,Senior Secondary
KRM PUBLIC SCHOOL,1930658,TAMILNADU,CHENNAI,"BLOCK NO. 11.(T.S.NO.32/1 (PART) 37/1,37/2,37/3,37/4,37/5) SHANTHI NAGAR 2ND LANE, SEMBIUM VILLAGE, M H ROAD, PERAMBUR, CHENNAI-600011.",600011,,krmprincipal@gmail.com,http://www.krm.org,Secondary School
DAV PUBLIC SCHOOL,3430172,JHARKHAND,HAZARIBAGH,URIMARI SAYAL PO SAYAL DISTT HAZARIBAGH JHARKHAND,829125,,davps.urimari@yahoo.com,,Senior Secondary
SHREE RAM IDEAL SCHOOL,530413,HARYANA,HISSAR,SECT 14 P SIRSA ROAD HISSAR HARYANA,125001,01662,srishisar@yahoo.com,,Senior Secondary
SHANTI ASIATIC SCHOOL,330703,BIHAR,VAISHALI (HAJIPUR),VISHUNPUR BASANT URF SUBHAI,844101,,sanjeevsinha.sinha4@gmail.com,,Secondary School
GOVT.HR. SR SEC SCHOOL,2220133,ARUNACHAL PRADESH,LOHIT,"OLD MOHNOG PO NEW MOHONG VIA BORDUMSA,DISTT LOHIT ARUNACHAL PRADESH",792056,03800,principalomhss@gmail.com,,Senior Secondary
NAZARETH ACADEMY,330001,BIHAR,GAYA,P B NO 63 GAYA BIHAR,823001,0631,sophiascn203@gmail.com,http://www.nazarethgaya.in,Senior Secondary
S D PUBLIC SCHOOL,2730236,DELHI,WEST DELHI,NEAR POLICE STATION KIRTI NAGAR NEW DELHI,110015,011,anjalimagoo@gmail.com,,Secondary School
JINDAL VIDYA MANDIR,1130090,MAHARASHTRA,THANE,VILLAGE VASIND TAL SHAHPUR DISTT THANE MAHARASHTRA,421604,02527,tremigius@gmail.com,,Senior Secondary
SHIVALIK PUBLIC SCHOOL,1630415,PUNJAB,SANGRUR,"DHILWAN ROAD, TAPA MANDI SANGRUR PUNJAB",573201,01679,millie-bose@yahoo.com,,Senior Secondary
B V BHAVANS LLOYDS VIDYA NIKETAN,1130039,MAHARASHTRA,WARDHA,VIDYA NIKETAN BHUGAON  WARDHA WARDHA MAHARASHTRA,442001,07152,principalblvn@gmail.com,,Senior Secondary
ABHINAV VIDYALAYA ATTARCHHERI,2120025,UTTAR PRADESH,,"BLOCK-MAJHGAWAN, DISTT. BAREILLY, DIVISION BAREILLY UP",,,,,Secondary School
SARVODAYA BAL VIDYALAYA,2754007,DELHI,SOUTH DELHI,MOLARBAND P.O. BADARPUR NEW DELHI,110044,011,gbsss1_md@rediffmail.com,,Senior Secondary
"KRISHNA PUBLIC SCHOOL,BILASPUR",3330143,CHATTISGARH,BILASPUR,"GRAM-KONI,NEAR GURU GHASI DAS UNIVERSITY, BILASPUR",495001,,principalbsp.kps@gmail.com,,Senior Secondary
ST. JOHN'S SCHOOL,530048,HARYANA,FARIDABAD,A-BLOCK SECTOR 7 FARIDABAD HARYANA,121006,0129,aparna_gautam_panda@yahoo.co.in,,Senior Secondary
GITARATTAN JINDAL PUBLIC SCHOOL,2730190,DELHI,,D BLOCK  SECTOR VII ROHINI DELHI,110085,0120,anita.grjps@gmail.com,,Senior Secondary
GURU GOBIND SINGH PUBLIC SCHOOL,3430328,JHARKHAND,RANCHI,KAMRE RATU ROAD RANCHI,835222,,shabnamjleo@gmail.com,http://www.ggspskamre.ac.in,Secondary School
ARYA BANDHU PUBLIC SCHOOL,2132837,UTTAR PRADESH,GHAZIABAD,"VILLAGE - SADAT NAGAR, IKLA POST - DASNA, DISTT. GHAZIABAD",201001,,aryabandhupublicschool@yahoo.in,,Secondary School
CHILDREN DELIGHT SCHOOL,330349,BIHAR,SARAN (CHAPRA),"DAK BUNGLAW ROAD, CHAPRA",841301,,katyayanisaran@gmail.com,,Secondary School
PRIYADARSHINI NAGPUR PUBLIC SCHOOL,1130552,MAHARASHTRA,NAGPUR,"OLD BAGADGANJ, BHANDARA ROAD,",440008,,neema.agrawal11@gmail.com,http://www.pnps.ltjss.net,Secondary School
AAKARSHAN PUBLIC SCHOOL,1631185,PUNJAB,GURDASPUR,NATIONAL HIGHWAY NAROT JAIMAL SINGH TEHSIL & DISTRICT PATHANKOT (PUNJAB),145026,,aakarshanpublic@yahoo.in,http://www.aakarshanpublic.org,Secondary School
GREAT INDIA PRESIDENCY SCHOOL,1630849,PUNJAB,AMRITSAR,"AMRITSAR-ATTARI G.T.ROAD, NEAR TOLL PLAZA, VILL. CHHIDAN",143107,,gipsprincipalasr@gmail.com,,Secondary School
ROYALE CONCODE INTRNATIONAL CHOOL,830805,KARNATAKA,BANGALORE,81/1 BEGUR MAIN RD HONGASANDRA,560068,,principalbegur@gmail.com,http://www.rcis.in,Middle Class
KENDRIYA VIDYALAYA,1600008,PUNJAB,,AIR FORCE STATION BARNALA SANGRUR DISTT PUNJAB,148101,,kvbnl2013@gmail.com,,Senior Secondary
GOVT BOYS HIGHER SECONDARY SCHOOL,3320079,CHATTISGARH,,MAINPUR CHHATTISGARH,,,,,Senior Secondary
MONNET D.A.V. PUBLIC SCHOOL,3330160,CHATTISGARH,RAIGARH,M.I.E.L. TOWNSHIP,496661,,ravikb1969@gmail.com,http://www.monnetgroup.com,Senior Secondary
KENDRIYA VIDYALAYA,300025,BIHAR,MUNGER,"LAKHI SARAI, DISTT MUNGER, BIHAR",811311,06346,kakrodasatya@gmail.com,,Secondary School
AKAL ACADEMY,1630350,PUNJAB,LUDHIANA,V&PO DHINDSA TEH SAMRALA DISTT LUDHIANA PUNJAB,141114,01628,aadhindsa@akalacademy.ac.in,http://www.pcsjammu.g,Senior Secondary
NALANDA ACADEMY,1730255,RAJASTHAN,KOTA,ROAD NO 7 ANANTPURA KOTA RAJASTHAN,814142,0744,prinalandaacademy@gmail.com,,Senior Secondary
VEE GEE VIKAS PUBLIC SCHOOL,1930591,TAMILNADU,SALEM,"NH7, MALLUR",636203,,veegeevikas@gmail.com,,Secondary School
SURYADATTA NATIONAL SCHOOL,1130572,MAHARASHTRA,PUNE,"SURYABHAVAN, 
WING A,S.NO. 342, 
PATIL NAGAR,NEAR DSK RANWARA, CHANDANI CHOWK - PASHAN ROAD,BAVDHAN 
(BK)",411021,,principal.sns@suryadatta.edu.in,http://www.suryadattaschool.org,Secondary School
OCTAGON PUBLIC SCHOOL,530552,HARYANA,SONEPAT,JAGDISH PUR DISTT SONEPAT HARYANA,131030,07805,stthomas_mds@sanchernet.in,,Secondary School
QUEEN'S VALLEY SCHOOL,2730599,DELHI,SOUTH WEST DELHI,"SITE-B, SECTOR-8,DWARKA",110077,,namitaqvs@gmail.com,http://queensvalleyschool.org,Senior Secondary
DEEPAK MEMORIAL ACADEMY,1030125,MADHYA PRADESH,SAGAR,OPPOSITE KRISHNA MANDIR RAJAKEHRI ANAND NAGAR MAKRONIA  SAGAR MADHYA PRADESH,470001,07582,jaiswalamul@gmail.com,,Senior Secondary
DAYAL PUBLIC SCHOOL,330408,BIHAR,NAWADAH,"MADHO BIGHA,PATNA RANCHI ROAD,P.O. ORHANPUR,THANA MOFFASSIL,DIST.NAWADAH",805123,,mpsinha1965@gmail.com,,Senior Secondary
SRI GURU HAKRISHAN SEN. SEC. PUBLIC SCHOOL,1630702,PUNJAB,TARANTARAN,"BHAMNI WALA ROAD
PATTI",143416,,jollymooker7@gmail.com,http://www.chiefkhalsadiwan.com,Senior Secondary
GOVT. ADARSH SCHOOL,1620014,PUNJAB,FEROZEPUR,"BUKAN KHAN WALA, P.O. DHIRA PATRA, TEHSIL - FEROZEPUR",152003,01632,neelamkhochhar27@gmail.com,,Senior Secondary
HOLY CROSS SCHOOL KUMARGHAT,2030027,TRIPURA,NORTH TRIPURA,"HOLY CROSS SCHOOL,PABIACHERRA ( P.O), KUMARGHAT - 799264",799264,,aneeshcsc@yahoo.com,,Secondary School
VAISH MODEL SR. SEC SCHOOL,530108,HARYANA,BHIWANI,"LOHARU ROAD CHETNA SADAN BHIWANI, HARYANA",125002,01741,vmsbhiwani@gmail.com,,Senior Secondary
BHAGWAN SRICHAND PUBLIC HIGH SCHOOL,1030481,MADHYA PRADESH,CHHINDWARA,NEW BAIL BAZAR P.G. COLLAGE ROAD CHHINDWARA CHHINDWARA MADHYA PRADESH,480001,,barkha165@gmail.com,,Senior Secondary
SHREE SHREEJI ENGLISH MEDIUM SCHOOL,430115,GUJARAT,NAVSARI,"AT & PO. VALOTI, GANDEVI - BILIMORA RD., TA. GANDEVI, DI. NAVSARI",396380,01883,krupaparmar76@gmail.com,http://www.swaminarayanschoolvaloti.com,Senior Secondary
GOVT GIRLS SR SEC SCHOOL,2760025,DELHI,,ANANDVAS SHAKURPUR DELHI,110034,011,asha.magoon.2015@gmail.com,,Senior Secondary
"DHOOM SINGH MEMORIAL PUBLIC SCHOOL,",3530277,UTTARAKHAND,HARIDWAR,"SITARPUR-JWALAPUR, HARIDWAR (U.K.)-249407",249407,05882,rsrana380@gmail.com,,Senior Secondary
GOVT SEC SCHOOL,1820127,SIKKIM,EAST DISTRICT,SICHEY PO GANGTOK EAST SIKKIM,737101,03592,dgsicheyss@gmail.com,khanisirbongwestsikkim.in,Secondary School
KENDRIYA VIDYALAYA,1500041,ODISHA,JAJPUR,"JAJPUR, BIRAJA HIGH SCHOOL CAMPUS, PO DEVIDWAR, JAJPUR TOWN, ODISHA",755007,06728,kamaljeet_7871@yahoo.com,,Secondary School
SPS INTERNATIONAL ACADEMY,2131126,UTTAR PRADESH,MATHURA,"100 KM STONE NH-2,NEAR PASUPATI FABRIC LTD.KOSI KALAN ,MATHURA.",281403,08394,pks.mtr@gmail.com,,Senior Secondary
HOLY CHILD SCHOOL,2130404,UTTAR PRADESH,RAMPUR,BHARATPUR R O KAUSHAL  GANJ BILASPUR  RAMPUR UTTAR PRADESH,244923,05944,ravindraahuja20@gmail.com,,Senior Secondary
INTERNATIONAL INDIAN SCHOOL KALLIKKANDY,930976,KERALA,KANNUR,"KALLIKKANDY P.O
KANNUR DIST",670693,,ancerajaniis@gmail.com,,Secondary School
SAGRITARA SCHOOL,2530020,ANDAMAN & NICOBAR,PORT BLAIR,"PREM NAGAR, P.O. HADDO",744102,,kujurpreety@gmail.com,http://www.sagritaraschoolportblair.org,Secondary School
KOTA PUBLIC SCHOOL JANDLI KHURD,531366,HARYANA,FATEHABAD,FATEHABAD ROAD JANDLI KHURD,125111,,kpsjandlikhurd2015@gmail.com,,Secondary School
MATHEWS MAR ATHANASIUS RESIDENTIAL CENTRAL SCHOOL,931142,KERALA,ALAPPUZHA,"ANGADICAL P.O.,CHENGANNUR ALAPPUZHA",689122,,laluvarghese19@gmail.com,,Senior Secondary
GOVT. GIRLS SR. SEC. SCHOOL,2766092,DELHI,,"HASTESAL VILLAGE, NEW DELHI-110059",110059,011,ggssshastsal278@gmail.com,,Senior Secondary
ARMY PUBLIC SCHOOL,1180010,MAHARASHTRA,PUNE,"KIRKEE, DISTT PUNE MAHARASTRA",411003,020,pkhanna3@hotmail.com,,Senior Secondary
SWAMI HARSEWANAND PUBLIC SCHOOL,2130681,UTTAR PRADESH,VARANASI,RAMNA GARHAWA GHAT VARANASI UTTAR PRADESH,221005,,chaubey.shps@gmail.com,,Senior Secondary
DAV PUBLIC SCHOOL,630086,HIMACHAL PRADESH,BILASPUR,GHUMARWIN DISTT BILASPUR HIMACHAL PRADESH,174021,01978,dav_ghumarwin@yahoo.com,http://www.pcsjammu.g,Senior Secondary
R. D. S. PUBLIC SCHOOL,530823,HARYANA,AMBALA,"IN FRONT OF TEHSIL, REWARI ROAD (DHARUHERA)",123106,,raiperia123@gmail.com,,Senior Secondary
SRI SARADA SECONDARY SCHOOL,1930033,TAMILNADU,CHENNAI CITY,NO.1  SECOND STREET GOPALAPURAM CHENNAI TAMIL NADU,600086,044,malathyravi154@gmail.com,http://www.saradaschool.in,Secondary School
ITHAKA ENGISH MEDIUM SCHOOL,130406,ANDHRA PRADESH,NELLORE,"KANUPARTHIPADU(POST),
NELLORE RURAL(MANDAL),
NELLORE,
S.P.S.R. NELLORE DISTRICT",524004,,ithaka.principal@gmail.com,http://www.ithaka.in,Secondary School
THE HORIZON SCHOOL,3530344,UTTARAKHAND,DEHRADUN,"NEAR SAIN CHOWKI, LOWER JOLLY GRANT",248140,,namrata.sharma@hotmail.com,,Senior Secondary
NAVY CHILDREN SCHOOL,2880001,GOA,GOA (SOUTH),AIRPORT ROAD NOFRA-I DABOLIM GOA,403801,0832,nps_goa@yahoo.co.in,,Senior Secondary
ST. J.B. GLOBAL ACADEMY,2132175,UTTAR PRADESH,FEROZABAD,"MAINPURI RAOD, MANDAI, SHIKOHABAD",283135,,opyadav.1973@gmail.com,http://www.stjbga.com,Secondary School
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320221,CHATTISGARH,,"GUDRAPARA, GARKHA, BLOCK -KESHKAN, DISTT. KONDAGAON, CHHATTISGARH",495559,,davmmps.kgn@gmail.com,,Senior Secondary
YATHARTH FUTURISTIC ACADEMY,1030738,MADHYA PRADESH,UJJAIN,"VILLAGE NINORA, INDORE ROAD",456001,,yathrthfuturistic@gmail.com,http://www.yatharthfuturisticacademy.com,Secondary School
BIRLA DIVYA JYOTI,2430138,WEST BENGAL,DARJEELING,"ZONE F, UTTORAYON TOWNSHIP, MATIGARA, SILIGURI",734010,,gayatrirai1451@gmail.com,http://www.birladivyajyoti.com,Secondary School
SUNRISE GLOBAL SCHOOL,2131858,UTTAR PRADESH,BULANDSHAHAR,"VILL. MANPUR, SAIDPUR ROAD",245408,,sunriseglobalschool@gmail.com,http://www.sunriseglobalschool.com,Senior Secondary
INDIAN COMMUNITY SCHOOL,6030001,FOREIGN SCHOOLS,LIBYA,PO BOX 14266 TRIPOLI (S P L A J) LIBYA C/O FIRST SECY EMBASSY OF INDIA TRIPOLI LIBYA,791123,,,,Senior Secondary
DELHI PUBLIC SCHOOL,2130550,UTTAR PRADESH,MEERUT,BAGHPAT ROAD MEERUT UTTAR PRADESH,250002,0121,savitachadha1970@gmail.com,http://www.dpsmeerut.com,Senior Secondary
GLOBAL CITY INTERNATIONAL SCHOOL,830515,KARNATAKA,BANGALORE,"#135, 5TH MAIN, 6TH CROSS, MALLESH PALYA, NEW THIPPASANDRA POST, NEAR C.V. RAMAN NAGAR,
PRINCIPAL@GCIS.EDU.IN,PRESIDENT@GCIS.EDU.IN",560075,,principal@gcis.edu.in,http://www.gcis.edu.in,Secondary School
ST. DOMINIC CONVENT ENGLISH MEDIUM SCHOOL VELLANI,930925,KERALA,THRISSUR,VELLANI [P O] IRINJALAKUDA-680701,680701,0479,srjoisyop@gmail.com,,Senior Secondary
SUSHGANGA PUBLIC SCHOOL,1130626,MAHARASHTRA,YAVAT MAL,"WANI-WARORA ROAD,NAIGAON",445304,,sgp.principal@gmail.com,http://www.sushgangaschool.org.com,Middle Class
THE PARAMOUNT PUBLIC SCHOOL,1730775,RAJASTHAN,JHUNJHUNU,VPO-THATHWARI,332746,,nareshkumaryadav1972@gmail.com,http://www.rgrss.com,Secondary School
SSR CONCEPT SCHOOL,3630127,TELANGANA,NIZAMABAD,JANNEPALLY VILLAGE  NAVIPET MANDAL,503246,05497,ssrconceptschool23@yahoo.in,,Senior Secondary
SHARDA SARVHITKARI SR. SEC.SCHOOL,2630002,CHANDIGARH,,SECTOR 40 D CHANDIGARH,110018,,sharda_sarvhitkari@yahoo.co.in,,Senior Secondary
SANSKAR PUBLIC SCHOOL,2132209,UTTAR PRADESH,AGRA,"VILLAGE BAAD , POST KAKUA , GWALIOR ROAD BARAULI AHEER DISTT. AGRA",282009,,sanskarschoolbaad@gmail.com,,Secondary School
TAWANG PUBLIC SCHOOL,2230061,ARUNACHAL PRADESH,TAWANG,"LEMBERDUNG
P.O-TAWANG DIST-TAWANG(A.P)
PIN-790104",790104,05662,banmansan@gmail.com,,Secondary School
"SARVODAYA BAL VIDYALAYA,",2756005,DELHI,,"SHAHBAD MOHAMMAD PUR, NEW DELHI-110061",110061,011,manoharilalmeena3@gmail.com,,Senior Secondary
BASAVESHWARA INTERNATIONAL PUBLIC SCHOOL,830079,KARNATAKA,BAGALKOT,"BAGALKOT, KARNATAKA-587101",587101,08354,chadarallisuresh@yahoo.com,,Senior Secondary
"LORD RAMA PUBLIC SCHOOL, BATHINDA",1630595,PUNJAB,BHATINDA,"LORD RAMA PUBLIC SCHOOL, BIBI WALA ROAD, BATHINDA-151001",151001,01733,lordramaschool@gmail.com,,Senior Secondary
SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL,1720123,RAJASTHAN,BARMER,"TEJA JI KA DANDA, KISHANGANJ, DISTT. BARAN, RAJASTHAN-325216",,,meenamp190577@gmail.com,,Secondary School
AL-HIRA PUBLIC SCHOOL,2132585,UTTAR PRADESH,GHAZIABAD,"AL-HIRA PUBLIC SCHOOL, DASNA",201015,,alhirapublicsclooldasna@gmail.com,,Secondary School
S. V. M. RESIDENTIAL PUBLIC SCHOOL,330275,BIHAR,PATNA,"RAJEEV NAGAR, 
PATNA 800 024",800024,0151,krroshan.principal@gmail.com,,Secondary School
CARMEL CONVENT SENIOR SECONDARY SCHOOL,1030025,MADHYA PRADESH,NEEMUCH,NEEMUCH C R P F ROAD MADHYA PRADESH,458441,07423,sr.jaya.ctc@gmail.com,http://www.carmelneemuch.in,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,3440011,JHARKHAND,CHATRA,P O CHATRA CHATRA DISTT. JHARKHAND,825401,,jnvchatra2@gmail.com,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,440010,GUJARAT,AMRELI,"AT PO & TA DHANSURA, DIST. ARVALLI, GUJARAT",383310,0824,jnv.dhansura@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA KIMIN,2200008,ARUNACHAL PRADESH,,10TH ITBP FORCE PO KIMIN DISTT PAPAMPARA ARUNACHAL PRADESH,791121,0342,ferozkhankvs@gmail.com,http://www.kvburdwan.net,Secondary School
ST CRISPINS SR SEC SCHOOL,530393,HARYANA,GURGAON,NEW RAILWAY ROAD GURGAON HARYANA,122001,0124,poornimalall@yahoo.com,http://www.lionspublicsch,Senior Secondary
